"","search_string","unique_name","approximate_match","score","ott_id","is_synonym","flags","number_matches","gbif_id","orig_tiplabel"
"182","castanopsis sieboldii","Castanopsis sieboldii",FALSE,1,853655,FALSE,"",1,5333015,"Castanopsis sieboldii"
"183","castanopsis tibetana","Castanopsis tibetana",FALSE,1,738665,FALSE,"",1,5333011,"Castanopsis tibetana"
"184","castanopsis uraiana","Castanopsis uraiana",FALSE,1,149026,FALSE,"",1,5332814,"Castanopsis uraiana"
"185","castanopsis wattii","Castanopsis wattii",FALSE,1,129477,FALSE,"",1,5333055,"Castanopsis wattii"
"186","casuarina collina","Casuarina collina",FALSE,1,738922,FALSE,"",1,2891933,"Casuarina collina"
"187","casuarina cristata","Casuarina cristata",FALSE,1,347528,FALSE,"",1,2891927,"Casuarina cristata"
"188","casuarina cunninghamiana","Casuarina cunninghamiana",FALSE,1,79351,FALSE,"",1,2891932,"Casuarina cunninghamiana"
"189","casuarina equisetifolia","Casuarina equisetifolia",FALSE,1,216638,FALSE,"",1,2891930,"Casuarina equisetifolia"
"190","casuarina glauca","Casuarina glauca",FALSE,1,216635,FALSE,"",1,7417428,"Casuarina glauca"
"191","casuarina obesa","Casuarina obesa",FALSE,1,738931,FALSE,"",1,2891935,"Casuarina obesa"
"192","casuarina oligodon","Casuarina oligodon",FALSE,1,347531,FALSE,"",1,2891928,"Casuarina oligodon"
"193","casuarina pauper","Casuarina pauper",FALSE,1,347535,FALSE,"",1,8291629,"Casuarina pauper"
"194","ceuthostoma palawanense","Ceuthostoma palawanense",FALSE,1,347541,FALSE,"",1,2891924,"Ceuthostoma palawanense"
"195","ceuthostoma terminale","Ceuthostoma terminale",FALSE,1,671340,FALSE,"",1,2891923,"Ceuthostoma terminale"
"196","chrysolepis chrysophylla","Chrysolepis chrysophylla",FALSE,1,1011398,FALSE,"",1,5333315,"Chrysolepis chrysophylla"
"197","chrysolepis sempervirens","Chrysolepis sempervirens",FALSE,1,288126,FALSE,"",1,5333311,"Chrysolepis sempervirens"
"198","colombobalanus excelsa","Colombobalanus excelsa",FALSE,1,403382,FALSE,"",1,2876671,"Colombobalanus excelsa"
"199","comptonia peregrina","Comptonia peregrina",FALSE,1,706092,FALSE,"",1,5414197,"Comptonia peregrina"
"200","corylus americana","Corylus americana",FALSE,1,731679,FALSE,"",1,2876060,"Corylus americana"
"201","corylus avellana","Corylus avellana",FALSE,1,424336,FALSE,"",1,2875979,"Corylus avellana"
"202","corylus chinensis","Corylus chinensis",FALSE,1,550618,FALSE,"",1,2876088,"Corylus chinensis"
"203","corylus colurna","Corylus colurna",FALSE,1,182954,FALSE,"",1,2875968,"Corylus colurna"
"204","corylus cornuta","Corylus cornuta",FALSE,1,424330,FALSE,"",1,2876032,"Corylus cornuta"
"205","corylus fargesii","Corylus fargesii",FALSE,1,866893,FALSE,"",1,2876069,"Corylus fargesii"
"206","corylus ferox","Corylus ferox",FALSE,1,747662,FALSE,"",1,2876008,"Corylus ferox"
"207","corylus jacquemontii","Corylus jacquemontii",FALSE,1,747673,FALSE,"",1,2876028,"Corylus jacquemontii"
"208","corylus maxima","Corylus maxima",FALSE,1,747675,FALSE,"",1,2876049,"Corylus maxima"
"209","corylus sieboldiana","Corylus sieboldiana",FALSE,1,82543,FALSE,"",1,2876013,"Corylus sieboldiana"
"210","corylus yunnanensis","Corylus yunnanensis",FALSE,1,214017,FALSE,"",1,2876044,"Corylus yunnanensis"
"211","cyclocarya paliurus","Cyclocarya paliurus",FALSE,1,1091658,FALSE,"",1,7310524,"Cyclocarya paliurus"
"212","engelhardia roxburghiana","Engelhardia roxburghiana",FALSE,1,722586,FALSE,"",2,8413198,"Engelhardia roxburghiana"
"213","engelhardia serrata","Engelhardia serrata",FALSE,1,514172,FALSE,"",1,7965217,"Engelhardia serrata"
"214","engelhardia spicata","Engelhardia spicata",FALSE,1,722583,FALSE,"",1,7310512,"Engelhardia spicata"
"215","fagus crenata","Fagus crenata",FALSE,1,288140,FALSE,"",1,2882300,"Fagus crenata"
"216","fagus engleriana","Fagus engleriana",FALSE,1,991650,FALSE,"",1,2882268,"Fagus engleriana"
"217","fagus grandifolia","Fagus grandifolia",FALSE,1,422459,FALSE,"",1,2882274,"Fagus grandifolia"
